DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-07-27,146.0,2.0,133.57142857142856,6.142857142857142,1.0411130011865355,0.014261821934062129,0.9524859648820067,0.04380416736890511,Metropolitan Manila,NCR,PH130000000
2020-07-28,150.0,4.0,140.28571428571428,6.7142857142857135,1.0696366450546597,0.028523643868124258,1.0003649385177866,0.04787897363578001,Metropolitan Manila,NCR,PH130000000
2020-07-29,166.0,16.0,145.42857142857142,5.142857142857142,1.1837312205271566,0.11409457547249703,1.0370381949196605,0.03667325640187405,Metropolitan Manila,NCR,PH130000000
2020-07-30,174.0,8.0,150.7142857142857,5.285714285714286,1.2407785082634053,0.057047287736248516,1.0747301528882534,0.037691957968592774,Metropolitan Manila,NCR,PH130000000
2020-07-31,191.0,17.0,159.14285714285714,8.428571428571429,1.3620039947029332,0.1212254864395281,1.134833545324658,0.06010339243640469,Metropolitan Manila,NCR,PH130000000
2020-08-01,205.0,14.0,168.0,8.857142857142856,1.4618367482413681,0.0998327535384349,1.1979930424612188,0.06315949713656087,Metropolitan Manila,NCR,PH130000000
2020-08-02,203.0,-2.0,176.42857142857142,8.428571428571429,1.447574926307306,-0.014261821934062129,1.2580964348976236,0.060103392436404696,Metropolitan Manila,NCR,PH130000000
2020-08-03,210.0,7.0,185.57142857142856,9.142857142857142,1.4974913030765236,0.04991637676921745,1.3232933351676217,0.06519690026999832,Metropolitan Manila,NCR,PH130000000
2020-08-04,220.0,10.0,195.57142857142856,10.0,1.5688004127468342,0.07130910967031065,1.3946024448379324,0.07130910967031066,Metropolitan Manila,NCR,PH130000000
2020-08-05,229.0,9.0,204.57142857142856,9.0,1.6329786114501137,0.06417819870327958,1.4587806435412118,0.0641781987032796,Metropolitan Manila,NCR,PH130000000
2020-08-06,245.0,16.0,214.7142857142857,10.142857142857142,1.7470731869226108,0.11409457547249703,1.5311084547782414,0.07232781123702939,Metropolitan Manila,NCR,PH130000000
2020-08-07,244.0,-1.0,222.28571428571428,7.571428571428571,1.7399422759555798,-0.0071309109670310645,1.5850996378143336,0.05399118303609237,Metropolitan Manila,NCR,PH130000000
2020-08-08,251.0,7.0,228.85714285714283,6.571428571428571,1.7898586527247973,0.04991637676921745,1.6319599098833948,0.04686027206906131,Metropolitan Manila,NCR,PH130000000
2020-08-09,260.0,9.0,237.0,8.142857142857142,1.8540368514280767,0.06417819870327958,1.6900258991863621,0.05806598930296726,Metropolitan Manila,NCR,PH130000000
